               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/prohibitory_mAP,  metrics/danger_mAP,metrics/mandatory_mAP,   metrics/other_mAP,metrics/prohibitory_mAP_50,metrics/danger_mAP_50,metrics/mandatory_mAP_50,metrics/other_mAP_50
                  22,            0.031883,           0.0067593,            0.004565,             0.95341,             0.95005,             0.97434,             0.70774,             0.02615,           0.0065537,           0.0054383,            0.005842,            0.005842,            0.005842,             0.78979,             0.71339,             0.66539,             0.66237,             0.99427,               0.995,             0.94258,             0.96552
                  23,             0.02998,           0.0064177,           0.0043576,             0.96112,             0.93495,             0.97298,             0.68804,            0.028822,           0.0066153,           0.0042324,            0.005644,            0.005644,            0.005644,             0.71014,             0.71227,             0.61181,             0.71793,             0.99409,             0.98725,             0.93645,             0.97413
                  24,            0.028712,           0.0060129,           0.0038925,             0.97675,             0.91112,              0.9697,             0.73086,            0.028099,           0.0063096,           0.0041621,            0.005446,            0.005446,            0.005446,             0.78668,             0.76581,             0.64023,             0.73072,              0.9942,             0.99445,             0.92563,             0.96453
                  25,            0.028328,           0.0063182,           0.0039016,             0.97114,             0.92594,             0.97107,             0.71023,            0.028152,           0.0063297,           0.0046349,            0.005248,            0.005248,            0.005248,             0.72493,             0.74401,             0.66273,             0.70925,             0.99381,             0.99464,             0.92582,             0.96999
                  26,            0.027824,           0.0061304,           0.0038617,             0.97754,             0.91637,             0.96765,             0.70427,            0.025382,           0.0062038,            0.004208,             0.00505,             0.00505,             0.00505,             0.73895,              0.7424,             0.64949,             0.68626,             0.99363,               0.995,             0.91885,             0.96312
                  27,            0.026994,           0.0059926,           0.0036147,             0.96135,             0.94039,             0.97197,             0.73359,            0.027194,           0.0059932,           0.0035347,            0.004852,            0.004852,            0.004852,             0.78889,             0.76856,             0.68438,             0.69252,             0.99427,               0.995,             0.92689,             0.97172
                  28,            0.026494,           0.0059701,           0.0032982,             0.96278,              0.9497,             0.97094,             0.74965,            0.024946,           0.0060424,           0.0036614,            0.004654,            0.004654,            0.004654,             0.79395,             0.77911,              0.6934,             0.73216,             0.99455,               0.995,             0.92011,             0.97412
                  29,             0.02609,           0.0056874,           0.0034523,             0.97484,             0.91795,             0.97173,             0.72524,            0.024733,           0.0060714,           0.0034104,            0.004456,            0.004456,            0.004456,             0.76406,             0.77618,             0.68213,             0.67858,             0.99455,             0.99482,             0.92026,             0.97729
                  30,            0.024767,           0.0054917,           0.0032603,              0.9522,             0.93891,             0.97164,             0.72855,             0.02444,            0.005866,           0.0035084,            0.004258,            0.004258,            0.004258,              0.7706,              0.7104,             0.70601,             0.72719,             0.99308,               0.995,              0.9228,             0.97567
                  31,            0.024738,           0.0054691,           0.0031738,             0.97895,             0.91866,             0.97718,              0.7559,            0.023708,            0.005808,           0.0035825,             0.00406,             0.00406,             0.00406,              0.7877,             0.77796,             0.71093,               0.747,             0.99409,               0.995,             0.94024,             0.97937
